id	text	label
LLM_SEX_000001	মেয়েরা দেশের নেতৃত্ব দিলে দেশের সর্বনাশ নিশ্চিত।	Sexism
LLM_SEX_000002	এসব ছোট কাপড় পরে বেরিয়েছো, এখন দোষ ছেলেদের দিলে হবে?	Sexism
LLM_SEX_000003	আজকালকার মেয়েরা শুধু টাকা আর ভোগবিলাস বোঝে, লজ্জা শরম নেই।	Sexism
LLM_SEX_000004	চরিত্রহীন মহিলাদের রাজনীতিতে কোনো স্থান থাকা উচিত নয়।	Sexism
LLM_SEX_000005	নারীদের আসল কাজ সংসার সামলানো, বাইরে এসে শুধু ঝামেলা বাড়ায়।	Sexism
LLM_SEX_000006	শুধু মেকআপ আর পোশাক বদলে কি পুরুষ মানুষ মেয়ে হয়ে যায়? ভণ্ডামি ছাড়া কিছু না।	Sexism
LLM_SEX_000007	পরকীয়া তো মেয়েদেরই শুরু করা ফ্যাশন, পুরুষ কেন দোষী হবে?	Sexism
LLM_SEX_000008	এইসব ফালতু সাজুগুজো করা মেয়েদের সাংবাদিকতা মানায় না।	Sexism
LLM_SEX_000009	যোগ্যতা না থাকলেও শুধু নারী কোটায় চাকরি পাচ্ছে, দেশের উন্নতি হবে কিভাবে?	Sexism
LLM_SEX_000010	যে নারী টাকার জন্য দেহ বিক্রি করে, তার আবার সম্মান কিসের?	Sexism
LLM_SEX_000011	কিছু মানুষ নিজেদের স্বার্থসিদ্ধির জন্য তৃতীয় লিঙ্গের দোহাই দেয়, আসলে সব নাটক।	Sexism
LLM_SEX_000012	মেয়েদের জন্মই হয়েছে পুরুষদের সেবা করার জন্য, আর কোনো উচ্চাকাঙ্ক্ষা তাদের মানায় না।	Sexism
LLM_SEX_000013	নারীদের আবেগ বেশি, তাই তাদের দিয়ে বড় কোনো কাজের আশা করা বোকামি।	Sexism
LLM_SEX_000014	একজন ছেলে কি করে নিজেকে মেয়ে ভাবতে পারে? এ তো অসুস্থ মস্তিষ্কের কাজ।	Sexism
LLM_SEX_000015	আধুনিকতার নামে মেয়েরা দিন দিন বেহায়া হয়ে যাচ্ছে, তাদের কোনো লজ্জা নেই।	Sexism
LLM_SEX_000016	এরা হিজড়া নাকি অন্য কিছু, বোঝা মুশকিল। সব ভন্ডামি!	Sexism
LLM_SEX_000017	শিক্ষিত নারীরা শুধু অশান্তি বাড়ায়, গৃহিণী হয়ে থাকাই তাদের জন্য ভালো।	Sexism
LLM_SEX_000018	যে মেয়েরা জিন্স টি-শার্ট পরে রাস্তায় বের হয়, তাদের চরিত্র নিয়ে প্রশ্ন থাকেই।	Sexism
LLM_SEX_000019	নারী নেতৃত্ব মানেই দুর্নীতির আখড়া, দেশের সর্বনাশ নিশ্চিত।	Sexism
LLM_SEX_000020	পুরুষের গায়ে হাত তোলা মেয়েদের উচিত শাস্তি হওয়া দরকার, তারা কি পুরুষদের সমান নাকি?	Sexism
LLM_SEX_000021	মেয়েরা এমন খোলামেলা পোশাক না পরলে পুরুষরা কেন তাদের দিকে তাকাবে?	Sexism
LLM_SEX_000022	মেয়েদের কথায় কান দিতে নেই, তারা তো আবেগ দিয়ে চলে।	Sexism
LLM_SEX_000023	মেয়েদের কাজ শুধু রান্নাঘরের মধ্যেই মানায়, বাইরে এসে চাকরি করার দরকার কি?	Sexism
LLM_SEX_000024	আধুনিকতার নামে মেয়েরা দিন দিন চরিত্রহীন হচ্ছে, সমাজটা রসাতলে যাচ্ছে।	Sexism
LLM_SEX_000025	এইসব নারী নেত্রীদের কথা শুনলে মনে হয় যেন তারা ঘরের কাজ ফেলে শুধু ঝামেলা তৈরি করতে এসেছে।	Sexism
LLM_SEX_000026	মেয়েরা দল বেঁধে থাকলে শুধু অন্যের নিন্দা আর মিথ্যাচার করে।	Sexism
